,Name,Price,CPU,Type CPU,Storage,Type Storage,RAM,Type RAM,Graphic,Brand,Score star,Vote
0,Laptop HP 240 G7 (9FM95PA),8.990.000,Intel Core i3,7020U,,,4 GB,DDR4,Intel HD Graphics 620,HP,4.9,10
1,Laptop Asus X409UA-EK092T,9.390.000,,,1TB,HDD,4 GB,DDR4,,Asus,4.4,10
2,Laptop Asus X409FA (EK100T),11.590.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,Asus,4.5,10
3,Laptop HP NoteBook 14S-CF1040TU (7PU14PA),12.990.000,Core i5,8250U,,,4 GB,DDR4-2400,Intel UHD Graphics 620,HP,4.6,10
4,Laptop HP 348 G5 (7XU21PA),13.990.000,Intel Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel HD Graphics 620,HP,4.5,10
5,LAPTOP ASUS X509FA-EJ203T,13.590.000,Core i5,8265U,512GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
6,Laptop Acer Aspire A515-53G-564C (NX.H82SV.001),12.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,Acer,0,0
7,Laptop Lenovo Ideapad 330-15IKB 81DC00ENVN,8.990.000,Intel Core i3,7130U,500 GB,HDD,4 GB,DDR4,Intel HD Graphics 620,Lenovo,0,0
8,Laptop Dell Vostro 3580 (T3RMD1),13.890.000,Core i5,8265U,,,4GB(4Gx1) GB,DDR4,ntel HD Graphics 620,Dell,0,0
9,Máy tính xách tay Dell Vostro 5581 (70175950),16.890.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,Máy,0,0
10,Laptop Dell Vostro 3580 (T3RMD2),19.990.000,Intel Core i7,8565U,256GB,SSD,8 GB,DDR4,AMD Radeon 520,Dell,0,0
11,Laptop Dell Inspiron 3580 (70194513),20.390.000,Intel Core i7,8565U,2TB,HDD,8 GB,,AMD Radeon 520,Dell,0,0
12,Laptop MSI GF75 9RCX-430VN,22.990.000,Intel Core i7,9750H,256 GB,SSD,8 GB,DDR4,GeForce GTX 1050Ti 4GB,MSI,0,0
13,LAPTOP ASUS X505ZA-EJ505T,11.990.000,AMD Ryzen™ 5,2500U,1TB,HDD,4 GB,DDR4,AMD Radeon Vega 8 Graphics,ASUS,0,0
14,Laptop Dell Vostro 3480 (70187706),11.990.000,Intel Core i3,8145U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,Dell,0,0
15,LAPTOP HP ENVY X360 (6ZF34PA),25.990.000,AMD Ryzen™ 7,3700U,256 GB,SSD,8 GB,DDR4,Vega 10,HP,0,0
16,LAPTOP DELL VOSTRO 15 3578 (NGMPF22),12.590.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,DELL,0,0
17,Laptop Asus X507UF-EJ078T,12.990.000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,Asus,0,0
18,Laptop HP 15S-DU0038TX,14.990.000,Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,HP,0,0
19,Laptop Asus X509FA-EJ103T,13.000.000,Intel Core i5,8265U,512 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
20,Laptop Dell Inspiron 3481 (030CX1),10.590.000,Intel Core i3,7020U,,,4 GB,DDR4,Intel HD Graphics 620,Dell,0,0
21,Laptop Dell Inspiron 3480 (N4I7116W),17.990.000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,AMD M520,Dell,0,0
22,LAPTOP DELL INSPIRON 3480I (P89G003N80I),14.390.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,AMD Radeon 520,DELL,0,0
23,LAPTOP ASUS VIVOBOOK A412FA-EK153T,14.990.000,Intel Core i5,8265U,1TB,HDD,8 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
24,Laptop Acer Aspire 3 A315-54-57PJ,12.190.000,Core i5,8265U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,Acer,0,0
25,Laptop HP Pavilion 14 CE2034TU (6YZ17PA),12.990.000,Intel Core i3,8145U,1TB,,4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
26,LAPTOP ACER ASPIRE 3 A315-54K-36QU (NX.HEESV.007),9.390.000,Intel Core i3,7020U,256 GB,SSD,4 GB,DDR4,Intel HD Graphics 620,ACER,0,0
27,Laptop Asus X507UF-EJ079T,15.590.000,Intel Core i7,8550U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,Asus,0,0
28,LAPTOP ASUS X407U - BV147T,15.690.000,Intel Core i7,8550U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,ASUS,0,0
29,Laptop Dell Vostro V3580I (P75F010V80I),14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,AMD Radeon 520,Dell,0,0
30,LAPTOP ACER SWIFT SF315-52-38YQ (NX.GZBSV.003),12.490.000,Intel Core i3,8130U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ACER,0,0
31,LAPTOP ACER ASPIRE E5-476-50SZ,12.690.000,Intel Core i5,8250U,,1TB HDD + 16GB Optane,4 GB,DDR4,Intel UHD Graphics 620,ACER,0,0
32,LAPTOP ASUS S430FA-EB074T VÀNG,15.890.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
33,LAPTOP ASUS VIVOBOOK A512FA-EJ440T,15.990.000,Intel Core i5,8265U,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
34,LAPTOP ACER ASPIRE A514-51-525E (NX.H6VSV.002),13.190.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,ACER,0,0
35,Laptop Asus A512DA-EJ418T,16.790.000,AMD Ryzen™ 7,3700U,512GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 10 Graphics,Asus,0,0
36,Laptop Asus A512FL (EJ163T),15.990.000,Intel Core i5,8265U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX250,Asus,0,0
37,LAPTOP ACER ASPIRE A515-53-50ZD (NX.H6DSV.001),14.190.000,Intel Core i5,8265U,,"HDD: 1 TB, Intel Optane: 16GB",4 GB,DDR4,Intel UHD Graphics 620,ACER,0,0
38,LAPTOP HP 15-DA0051TU (4ME64PA),9.990.000,Intel Core i3,7020U,500 GB,HDD,4 GB,DDR4,Intel HD Graphics 620,HP,0,0
39,Laptop Asus A512FL- EJ165T,19.990.000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX250,Asus,0,0
40,Laptop MSI GF63 9RCX - 646VN,19.990.000,Intel Core i5,9300H,,NVMe PCIe SSD M2 - 2280,8 GB,DDR4,NVIDIA GeForce GTX 1050Ti 4GB GDDR5 + Intel UHD Graphics 620,MSI,4.5,10
41,LAPTOP ACER ASPIRE E5-576G-88EP,15.990.000,Intel Core i7,8550U,,"HDD: 1 TB, Intel Optane: 16GB",4 GB,DDR3L,NVIDIA GeForce MX130,ACER,0,0
42,LAPTOP ASUS X509FA-EJ101T,11.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,ASUS,0,0
43,Laptop Asus X509FA-EJ201T,11.990.000,Core i5,8265U,1TB,5400rpm,4 GB,DDR4,Intel UHD Graphics 620,Asus,0,0
44,LAPTOP DELL INSPIRON N5480B (P92G001),22.990.000,Intel Core i5,8265U,256 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,DELL,0,0
45,LAPTOP HP ENVY X360 (6ZF30PA),21.990.000,AMD Ryzen™ 5,3500U,256 GB,SSD,8 GB,DDR4,Vega 8,HP,0,0
46,LAPTOP LENOVO IDEAPAD 330-15IKB (81DE01JSVN),11.990.000,Intel Core i5,8250U,500 GB,HDD,4 GB,DDR4,AMD Radeon R7 M530 2GB,LENOVO,0,0
47,LAPTOP MSI GF63 9SC-070VN,24.990.000,Intel Core i7,9750H,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1650,MSI,0,0
48,Laptop Dell Vostro 3590 V5I3505W,12.790.000,Intel Core i3,10110U,1 TB,,4 GB GB,DDR4,Intel UHD Graphics,Dell,0,0
49,Laptop Asus X509F-EJ153T,13.990.000,Core i5,8265U,1 TB,,4 GB,DDR4,NVIDIA GeForce MX230 2GB GDDR5,Asus,0,0
50,Laptop HP Pavilion 15 CS2033TU 6YZ14PA Xám,14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,HP,0,0
51,Laptop HP Pavilion 15 CS2034TU 6YZ06PA Vàng,14.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel HD Graphics 620,HP,0,0
52,Laptop HP ProBook 430 G6 (5YN22PA),15.990.000,Intel Core i5,8265U,,"HDD 500GB 7200rpm, x1 slot SSD M.2 (SATA/ PCIe)",4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
53,Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,15.990.000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,MX130,HP,0,0
54,Laptop HP Pavilion X36014-DH0104TU,15.990.000,Intel Core i5,8265U,1TB,SATA3 (5400 rpm),4 GB,DDR4,Intel UHD Graphics 620,HP,0,0
