battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,laptop-gaming,Intel Core i7,8565U,256GB,AMD Radeon 520,,,Laptop Dell Vostro 3580 (T3RMD2),,,1,2.21 kg
,laptop-gaming,Intel Core i7,9750H,256 GB,GeForce GTX 1050Ti 4GB,,,Laptop MSI GF75 9RCX-430VN,,,1,2.2 kg
,laptop-gaming,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,LAPTOP ASUS S430FA-EB074T VÀNG,,,0,1.4 kg
,laptop-gaming,Intel Core i5,9300H,,NVIDIA GeForce GTX 1050Ti 4GB GDDR5 + Intel UHD Graphics 620,,,Laptop MSI GF63 9RCX - 646VN,,,1,2.3 kg
,laptop-gaming,Intel Core i7,8550U,,NVIDIA GeForce MX130,,,LAPTOP ACER ASPIRE E5-576G-88EP,,,0,2.23 kg
,laptop-gaming,Intel Core i7,9750H,256 GB,NVIDIA GeForce GTX 1650,,,LAPTOP MSI GF63 9SC-070VN,,,1,1.9 kg
,laptop-gaming,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,NVIDIA GeForce MX230 2GB,,,Laptop Dell Inspiron 15 5000 5593 N5I5402W,,,1,
,laptop-gaming,Intel Core i5,10210U,256 GB PCie,Intel UHD Graphics 620,,,Laptop Dell Vostro 5490 V4I5106W,,,1,1.49 kg
,laptop-gaming,AMD Ryzen™ 7,3750H,512 GB,NVIDIA GeForce® GTX 1660Ti,,,Laptop Asus FX505DU-AL070T,,,1,2.2 kg
,laptop-gaming,Core i5,9300H,1TB,NVIDIA GeForce GTX 1650 GDDR5,,,Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),,,0,2.23 kg
,laptop-gaming,Intel Core i7,9750H,512GB,Nvidia GTX 1050Ti + UHD 630,,,Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,,,1,2.3 kg
,laptop-gaming,Intel Core i5,8265U,1TB,NVIDIA GeForce MX130,,,LAPTOP DELL V5481 (P92G001V81A),,,0,1.55 kg
,laptop-gaming,Intel Core i7,8565U,1TB,MX250,,,LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,,,0,1.85 kg
,laptop-gaming,Intel Core i5,8300H,1TB,NVIDIA GeForce® GTX 1050,,,LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),,,0,2.4 kg
,laptop-gaming,AMD Ryzen™ 7,3750H,512 GB,Intel UHD Graphics 620,,,LAPTOP ASUS FX505D-AL003T,,,1,2.2 kg
,laptop-gaming,Intel Core i7,9750H,1TB,GTX 1050,,,LAPTOP LENOVO L340-15IRH (81LK007JVN),,,0,2.2 kg
,laptop-gaming,Intel Core i5,8300H,1TB + 128GB,Nividia GTX 1050,,,LAPTOP LENOVO LEGION Y530-15ICH (81FV00STVN),,,1,2.3 kg
,laptop-gaming,Intel Core i5,8300H,1TB,NVIDIA GeForce GTX 1050Ti,,,LAPTOP ASUS FX505GE-BQ052T,,,0,2.2 kg
,laptop-gaming,Core i5,Quad-core,512GB,Intel Iris Plus Graphics 655,,,Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),,,1,1.37 kg
,laptop-gaming,Intel Core i7,8550U,1TB,AMD Radeon 520,,,LAPTOP DELL INSPIRON 14 3476 70181694,,,0,1.95 kg
,laptop-gaming,Intel Core i5,9300H,1TB,GTX 1050,,,LAPTOP LENOVO L340-15IRH (81LK007HVN),,,0,2.2 kg
,laptop-gaming,Intel Core i5,8300H,1TB,NVIDIA GeForce GTX 1050,,,LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,,,0,2.45 kg
,laptop-gaming,Intel Core i5,9300H,512 GB,NVIDIA GeForce GTX 1050,,,Laptop Asus G531GD (AL025T),,,1,2.395 kg
,laptop-gaming,Core i5,9300H,512GB,NVIDIA,,,Laptop Dell G3 15 3590 - N5I5518W,,,1,
,laptop-gaming,i7,9750H,256GB,NVIDIA GeForce GTX 1050,,,Laptop Dell Inspiron 15 7591 KJ2G41,,,1,1.8 kg
,laptop-gaming,Intel Core i5,8250U,256 GB,Intel® UHD Graphics 620,,,Laptop MSI PS42 8M-288VN,,,1,1.18 kg
,laptop-gaming,Core i5,1035G1,512GB PCie,NVIDIA GeForce MX230 2GB,,,Laptop Dell Inspiron 15 5000 5593 N5I5461W,,,1,
,do-hoa-ky-thuat,Intel Core i7,8565U,,AMD M520,,,Laptop Dell Inspiron 3480 (N4I7116W),,,0,1.79 kg
,do-hoa-ky-thuat,Core i5,8250U,,Intel UHD Graphics 620,,,Laptop HP NoteBook 14S-CF1040TU (7PU14PA),,,0,
,do-hoa-ky-thuat,Core i5,8265U,512GB,Intel UHD Graphics 620,,,LAPTOP ASUS X509FA-EJ203T,,,1,1.9 kg
,do-hoa-ky-thuat,Core i5,8265U,,ntel HD Graphics 620,,,Laptop Dell Vostro 3580 (T3RMD1),,,0,2.2 kg
