Name,Price,CPU,Type_CPU,RAM,Graphic,Weight,Score_star,Vote,Brand,SSD
Laptop HP 240 G7 (9FM95PA),8990000,Intel Core i3,7020U,4 GB,Intel HD Graphics 620,,4.9,10,HP,0
Laptop Asus X409UA-EK092T,9390000,,,4 GB,,1.6 kg,4.4,10,Asus,0
Laptop Asus X409FA (EK100T),11590000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,4.5,10,Asus,0
Laptop HP NoteBook 14S-CF1040TU (7PU14PA),12990000,Core i5,8250U,4 GB,Intel UHD Graphics 620,,4.6,10,HP,0
Laptop HP 348 G5 (7XU21PA),13990000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.48 kg,4.5,10,HP,1
LAPTOP ASUS X509FA-EJ203T,13590000,Core i5,8265U,4 GB,Intel UHD Graphics 620,1.9 kg,0.0,0,ASUS,1
Laptop Acer Aspire A515-53G-564C (NX.H82SV.001),12990000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX130,2.072 kg,0.0,0,Acer,0
Laptop Lenovo Ideapad 330-15IKB 81DC00ENVN,8990000,Intel Core i3,7130U,4 GB,Intel HD Graphics 620,1.8 kg,0.0,0,Lenovo,0
Laptop Dell Vostro 3580 (T3RMD1),13890000,Core i5,8265U,4GB(4Gx1) GB,ntel HD Graphics 620,2.2 kg,0.0,0,Dell,0
Máy tính xách tay Dell Vostro 5581 (70175950),16890000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.9 kg,0.0,0,Máy,0
Laptop Dell Vostro 3580 (T3RMD2),19990000,Intel Core i7,8565U,8 GB,AMD Radeon 520,2.21 kg,0.0,0,Dell,1
Laptop Dell Inspiron 3580 (70194513),20390000,Intel Core i7,8565U,8 GB,AMD Radeon 520,2.19 kg,0.0,0,Dell,0
Laptop MSI GF75 9RCX-430VN,22990000,Intel Core i7,9750H,8 GB,GeForce GTX 1050Ti 4GB,2.2 kg,0.0,0,MSI,1
LAPTOP ASUS X505ZA-EJ505T,11990000,AMD Ryzen™ 5,2500U,4 GB,AMD Radeon Vega 8 Graphics,1.6 kg,0.0,0,ASUS,0
Laptop Dell Vostro 3480 (70187706),11990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,Dell,0
