Name,Price,CPU,Type_CPU,Storage,Type_Storage,RAM,Type_RAM,Graphic,Weight,Score_star,Vote,Brand,Type_laptop
Laptop Dell Vostro 3580 (T3RMD2),20990000,Intel Core i7,8565U,256GB,SSD,8 GB,DDR4,AMD Radeon 520,2.21 kg,0,0,Dell,laptop-gaming
Laptop MSI GF75 9RCX-430VN,23490000,Intel Core i7,9750H,256 GB,SSD,8 GB,DDR4,GeForce GTX 1050Ti 4GB,2.2 kg,0,0,MSI,laptop-gaming
LAPTOP ASUS S430FA-EB074T VÀNG,15390000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.4 kg,0,0,ASUS,laptop-gaming
Laptop MSI GF63 9RCX - 646VN,20990000,Intel Core i5,9300H,,NVMe PCIe SSD M2 - 2280,8 GB,DDR4,NVIDIA GeForce GTX 1050Ti 4GB GDDR5 + Intel UHD Graphics 620,2.3 kg,4.5,10,MSI,laptop-gaming
LAPTOP ACER ASPIRE E5-576G-88EP,15990000,Intel Core i7,8550U,,"HDD: 1 TB, Intel Optane: 16GB",4 GB,DDR3L,NVIDIA GeForce MX130,2.23 kg,0,0,ACER,laptop-gaming
LAPTOP MSI GF63 9SC-070VN,24990000,Intel Core i7,9750H,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1650,1.9 kg,0,0,MSI,laptop-gaming
Laptop Dell Inspiron 15 5000 5593 N5I5402W,16990000,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,HDD + SSD,4 GB,DDR4,NVIDIA GeForce MX230 2GB,,0,0,Dell,laptop-gaming
Laptop Dell Vostro 5490 V4I5106W,18790000,Intel Core i5,10210U,256 GB PCie,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.49 kg,0,0,Dell,laptop-gaming
Laptop Asus FX505DU-AL070T,26190000,AMD Ryzen™ 7,3750H,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce® GTX 1660Ti,2.2 kg,0,0,Asus,laptop-gaming
Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),23990000,Core i5,9300H,1TB,HDD 7200rpm,8 GB,DDR4,NVIDIA GeForce GTX 1650 GDDR5,2.23 kg,0,0,HP,laptop-gaming
Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,23490000,Intel Core i7,9750H,512GB,NVMe PCIe SSD M2 - 2280,8 GB,DDR4,Nvidia GTX 1050Ti + UHD 630,2.3 kg,0,0,MSI,laptop-gaming
LAPTOP DELL V5481 (P92G001V81A),19590000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.55 kg,0,0,DELL,laptop-gaming
LAPTOP HP PAVILION 15-CS2058TX (6YZ12PA) VÀNG,19990000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,MX250,1.85 kg,0,0,HP,laptop-gaming
LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),18490000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce® GTX 1050,2.4 kg,0,0,ACER,laptop-gaming
LAPTOP ASUS FX505D-AL003T,22690000,AMD Ryzen™ 7,3750H,512 GB,SSD,8 GB,DDR4,Intel UHD Graphics 620,2.2 kg,0,0,ASUS,laptop-gaming
LAPTOP LENOVO L340-15IRH (81LK007JVN),19990000,Intel Core i7,9750H,1TB,HDD,8 GB,DDR4,GTX 1050,2.2 kg,0,0,LENOVO,laptop-gaming
LAPTOP LENOVO LEGION Y530-15ICH (81FV00STVN),21990000,Intel Core i5,8300H,1TB + 128GB,HDD + SSD,8 GB,DDR4,Nividia GTX 1050,2.3 kg,0,0,LENOVO,laptop-gaming
LAPTOP ASUS FX505GE-BQ052T,21490000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce GTX 1050Ti,2.2 kg,0,0,ASUS,laptop-gaming
Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),47990000,Core i5,Quad-core,512GB,SSD,8 GB,LPDDR3,Intel Iris Plus Graphics 655,1.37 kg,0,0,Macbook,laptop-gaming
LAPTOP DELL INSPIRON 14 3476 70181694,17990000,Intel Core i7,8550U,1TB,HDD,8 GB,DDR4,AMD Radeon 520,1.95 kg,0,0,DELL,laptop-gaming
LAPTOP LENOVO L340-15IRH (81LK007HVN),16990000,Intel Core i5,9300H,1TB,HDD,8 GB,DDR4,GTX 1050,2.2 kg,0,0,LENOVO,laptop-gaming
LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,20999000,Intel Core i5,8300H,1TB,HDD,8 GB,DDR4,NVIDIA GeForce GTX 1050,2.45 kg,0,0,ACER,laptop-gaming
Laptop Asus G531GD (AL025T),22190000,Intel Core i5,9300H,512 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1050,2.395 kg,0,0,Asus,laptop-gaming
Laptop Dell G3 15 3590 - N5I5518W,25190000,Core i5,9300H,512GB,SSD,8 GB,DDR4,NVIDIA,,0,0,Dell,laptop-gaming
Laptop Dell Inspiron 15 7591 KJ2G41,28990000,i7,9750H,256GB,SSD,8 GB,,NVIDIA GeForce GTX 1050,1.8 kg,0,0,Dell,laptop-gaming
Laptop MSI PS42 8M-288VN,17990000,Intel Core i5,8250U,256 GB,SSD,8 GB,DDR4,Intel® UHD Graphics 620,1.18 kg,0,0,MSI,laptop-gaming
Laptop Dell Inspiron 15 5000 5593 N5I5461W,20690000,Core i5,1035G1,512GB PCie,SSD,8 GB,DDR4,NVIDIA GeForce MX230 2GB,,0,0,Dell,laptop-gaming
Laptop Dell Inspiron 3480 (N4I7116W),17990000,Intel Core i7,8565U,,,8 GB,DDR4,AMD M520,1.79 kg,0,0,Dell,do-hoa-ky-thuat
Laptop HP NoteBook 14S-CF1040TU (7PU14PA),12990000,Core i5,8250U,,,4 GB,DDR4-2400,Intel UHD Graphics 620,,4.6,10,HP,do-hoa-ky-thuat
LAPTOP ASUS X509FA-EJ203T,13590000,Core i5,8265U,512GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,1.9 kg,0,0,ASUS,do-hoa-ky-thuat
Laptop Dell Vostro 3580 (T3RMD1),13290000,Core i5,8265U,,,4GB(4Gx1) GB,DDR4,ntel HD Graphics 620,2.2 kg,0,0,Dell,do-hoa-ky-thuat
Laptop Dell Vostro 3580 (T3RMD2),20990000,Intel Core i7,8565U,256GB,SSD,8 GB,DDR4,AMD Radeon 520,2.21 kg,0,0,Dell,do-hoa-ky-thuat
LAPTOP HP ENVY X360 (6ZF34PA),25890000,AMD Ryzen™ 7,3700U,256 GB,SSD,8 GB,DDR4,Vega 10,1.3 kg,0,0,HP,do-hoa-ky-thuat
Laptop HP 15S-DU0038TX,13990000,Core i5,8265U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,,0,0,HP,do-hoa-ky-thuat
Laptop Dell Inspiron 3481 (030CX1),10290000,Intel Core i3,7020U,,,4 GB,DDR4,Intel HD Graphics 620,1.7 kg,0,0,Dell,do-hoa-ky-thuat
Laptop HP Pavilion 14 CE2034TU (6YZ17PA),11990000,Intel Core i3,8145U,1TB,,4 GB,DDR4,Intel UHD Graphics 620,,0,0,HP,do-hoa-ky-thuat
Laptop Asus X507UF-EJ079T,15690000,Intel Core i7,8550U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX130,1.5 kg,0,0,Asus,do-hoa-ky-thuat
LAPTOP ASUS X407U - BV147T,15690000,Intel Core i7,8550U,1TB,HDD,4 GB,DDR4,NVIDIA GeForce MX110,1.52 kg,0,0,ASUS,do-hoa-ky-thuat
LAPTOP ASUS S430FA-EB074T VÀNG,15390000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,Intel UHD Graphics 620,1.4 kg,0,0,ASUS,do-hoa-ky-thuat
Laptop Asus A512FL (EJ163T),17190000,Intel Core i5,8265U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX250,1.7 kg,0,0,Asus,do-hoa-ky-thuat
Laptop Asus A512FL- EJ165T,20190000,Intel Core i7,8565U,1TB,HDD,8 GB,DDR4,NVIDIA GeForce MX250,1.7 kg,0,0,Asus,do-hoa-ky-thuat
Laptop MSI GF63 9RCX - 646VN,20990000,Intel Core i5,9300H,,NVMe PCIe SSD M2 - 2280,8 GB,DDR4,NVIDIA GeForce GTX 1050Ti 4GB GDDR5 + Intel UHD Graphics 620,2.3 kg,4.5,10,MSI,do-hoa-ky-thuat
LAPTOP ACER ASPIRE E5-576G-88EP,15990000,Intel Core i7,8550U,,"HDD: 1 TB, Intel Optane: 16GB",4 GB,DDR3L,NVIDIA GeForce MX130,2.23 kg,0,0,ACER,do-hoa-ky-thuat
Laptop Asus X509FA-EJ201T,12590000,Core i5,8265U,1TB,5400rpm,4 GB,DDR4,Intel UHD Graphics 620,1.9 kg,0,0,Asus,do-hoa-ky-thuat
LAPTOP HP ENVY X360 (6ZF30PA),21890000,AMD Ryzen™ 5,3500U,256 GB,SSD,8 GB,DDR4,Vega 8,1.3 kg,0,0,HP,do-hoa-ky-thuat
LAPTOP MSI GF63 9SC-070VN,24990000,Intel Core i7,9750H,256 GB,SSD,8 GB,DDR4,NVIDIA GeForce GTX 1650,1.9 kg,0,0,MSI,do-hoa-ky-thuat
Laptop Dell Vostro 3590 V5I3505W,12490000,Intel Core i3,10110U,1 TB,,4 GB GB,DDR4,Intel UHD Graphics,,0,0,Dell,do-hoa-ky-thuat
Laptop Asus X509F-EJ153T,14190000,Core i5,8265U,1 TB,,4 GB,DDR4,NVIDIA GeForce MX230 2GB GDDR5,1.8 kg,0,0,Asus,do-hoa-ky-thuat
Laptop HP Pavilion 15 CS2057TX (6YZ20PA) Xám,15990000,Intel Core i5,8265U,1TB,HDD,4 GB,DDR4,MX130,1.85 kg,0,0,HP,do-hoa-ky-thuat
Laptop Dell Inspiron 15 5000 5593 N5I5402W,16990000,Core i5,1035G1,HDD 1TB + SSD 128GB PCie,HDD + SSD,4 GB,DDR4,NVIDIA GeForce MX230 2GB,,0,0,Dell,do-hoa-ky-thuat
Laptop Acer Aspire A315-42-R8PX,10690000,AMD Ryzen™ 3,3200U,256 GB,SSD,8 GB,DDR4,AMD Radeon™ Vega 3 Graphics,,0,0,Acer,do-hoa-ky-thuat
Laptop Asus X409FJ-EK137T,17890000,Intel Core i7,8265U,512 GB,SSD,4 GB,DDR4,NVIDIA GeForce MX230,1.6 kg,0,0,Asus,do-hoa-ky-thuat
Laptop Dell Vostro 5490 V4I5106W,18790000,Intel Core i5,10210U,256 GB PCie,SSD,8 GB,DDR4,Intel UHD Graphics 620,1.49 kg,0,0,Dell,do-hoa-ky-thuat
Laptop Dell Vostro 5370 (V5370B),20190000,Core i5,8250U,256 GB,SSD,8 GB,DDR4,AMD Radeon 530,,0,0,Dell,do-hoa-ky-thuat
Laptop Acer Aspire A315-54-52HT,12790000,Core i5,10210U,256 GB,SSD,4 GB,DDR4,Intel UHD Graphics 620,,0,0,Acer,do-hoa-ky-thuat
Laptop Acer Aspire A315-54-59ZJ,13990000,Core i5,10210U,512 PCie,SSD,8 GB,DDR4,Intel UHD Graphics,,0,0,Acer,do-hoa-ky-thuat
Laptop HP Pavilion Gaming 15 DK0001TX (7HR11PA),23990000,Core i5,9300H,1TB,HDD 7200rpm,8 GB,DDR4,NVIDIA GeForce GTX 1650 GDDR5,2.23 kg,0,0,HP,do-hoa-ky-thuat
LAPTOP LENOVO IDEAPAD 330-14IKBR 81G2007BVN,10990000,Intel Core i5,8250U,1TB,HDD,4 GB,DDR4,UHD Intel® 620,2.1 kg,0,0,LENOVO,do-hoa-ky-thuat
