name,resolution,cpu,ram,graphic,ssd,disk,battery,weight,keyboard_light,id,link,category,cpu_name,cpu_type
"Laptop ASUS ROG Strix Scar III G531GV-VAZ160T (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.6 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce RTX 2060,512GB,,4 cell,2.6,1,190800596,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-scar-iii-g531gvvaz160t-i79750h-s190800596.html,laptop-gaming,Intel Core i7,9750H
"Laptop ASUS ROG Zephyrus M GU502GU-AZ090T (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,2,1,190800597,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-zephyrus-m-gu502guaz090t-i79750h-den-s190800597.html,laptop-gaming,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0003TX (7HR34PA) (15"" FHD/i7-9750H/16GB/512GB SSD/1TB HDD/GTX 1660Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,1TB,3 cell,2.2,0,190900035,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0003tx-7hr34pa-i79750h-den-s190900035.html,laptop-gaming,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0233TX (8DS86PA) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1650/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.2,0,190900036,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0233tx-8ds86pa-i79750h-den-s190900036.html,laptop-gaming,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0232TX (8DS85PA) (15"" FHD/i7-9750H/8GB/1TB HDD/GTX 1650/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,,1TB,3 cell,2.2,0,190900037,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0232tx-8ds85pa-i79750h-den-s190900037.html,laptop-gaming,Intel Core i7,9750H
"Laptop Lenovo Legion Y540-17IRH (81T3001HVN) (17"" FHD/i7-9750H/8GB/128GB SSD/1TB HDD/GTX 1650/FreeDOS/2.9 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,128GB,1TB,3 cell,2.9,0,190900293,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y54017irhpg081t3001hvn-i79750h-den-s190900293.html,laptop-gaming,Intel Core i7,9750H
"Laptop Lenovo Legion Y740-15IRHG (81UH003JVN) (15"" FHD/i7-9750H/16GB/1TB SSD/RTX 2060/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce RTX 2060,1TB,,3 cell,2.2,0,190904126,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y74015irhg81uh003jvn-i79750h-den-s190904126.html,laptop-gaming,Intel Core i7,9750H
"Laptop Acer Nitro 5 AN515-52-53PC (NH.Q3MSV.00B) (15"" FHD/i5-8300H/8GB/512GB SSD/GTX 1050/Win10/2.5 kg)",1920 x 1080,Intel Core i5-8300H,8GB,NVIDIA GeForce GTX 1050,512GB,,4 cell,2.5,0,190904130,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an5155253pc-nhq3msv00b-den-s190904130.html,laptop-gaming,Intel Core i5,8300H
"Laptop MSI GL65 9SEK-047VN (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.3kg)",1920 x 1080,Intel Core i7 9750H,16GB,NVIDIA GeForce RTX 2060,512GB,,6 cell,2.3,1,191000800,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-gl65-9sek047vn-i79750h-den-s191000800.html,laptop-gaming,Intel Core i7 ,9750H
"Laptop Dell G3 15 3590-N5I5518W (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.3kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.3,0,191001275,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-g3-15-3590-3590n5i5518w-i59300h-den-s191001275.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop Dell G3 15 3590-N5I5517W (15"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050/Win10/2.3kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,256GB,,3 cell,2.3,0,191001276,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-g3-15-3590-3590n5i5517w-i59300h-den-s191001276.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop Lenovo Legion Y7000-81V4000AVN (15"" FHD/i5-9300H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,256GB,1TB,3 cell,2.3,0,191006820,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y700081v4000avn-i59300h-den-s191006820.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop Lenovo Legion Y7000-15IRH (81V4000BVN) (15"" FHD/i7-9750H/8GB/256GB SSD/1TB HDD/GTX 1050/Free DOS/2.3 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1050,256GB,1TB,3 cell,2.3,0,191006821,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y700081v4000bvn-i79750h-den-s191006821.html,laptop-gaming,Intel Core i7,9750H
"Laptop MSI GS65 Stealth 9SD-1409VN (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1660Ti/Win10/1.9 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,1.9,1,191007067,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-stealth-gs65-9sd1409vn-i59300h-den-s191007067.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop MSI Thin GF75 9RCX-430VN (17"" FHD/i7-9750H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i7 9750H,8GB,NVIDIA GeForce GTX 1050Ti,256GB,,3 cell,2.2,1,191007068,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-thin-gf75-9rcx430vn-i79750h-den-s191007068.html,laptop-gaming,Intel Core i7 ,9750H
"Laptop Acer Nitro 5 AN515-54-58TJ (NH.Q5ASV.015) (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1050/Win10/2.3 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050,512GB,,4 cell,2.3,0,191007073,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an5155458tj-nhq5asv015-i59300h-den-s191007073.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop Acer Nitro 7 AN715-51-71F8 (NH.Q5HSV.004) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",1920 x 1080,Intel Core i7 9750H,8GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,2.3,0,191007074,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-7-an7155171f8-nhq5hsv004-i79750h-den-s191007074.html,laptop-gaming,Intel Core i7 ,9750H
"Laptop ASUS ROG Strix G G531GT-AL007T (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.4 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.4,1,191007075,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-g-g531gtal007t-i59300h-den-s191007075.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop MSI GP65 Leopard 9SD-224VN (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2.3 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,,6 cell,2.3,0,191100021,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-leopard-gp65-9sd224vn-i79750h-den-s191100021.html,laptop-gaming,Intel Core i7,9750H
"Laptop MSI Thin GF75 9RCX-432VN (17"" FHD/i5-9300H/8GB/256GB SSD/GTX 1050Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1050Ti,256GB,,3 cell,2.2,0,191100022,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-thin-gf75-9rcx-432vn-i5-9300h-en-s191100022.html,laptop-gaming,Intel Core i5 ,9300H
"Laptop ASUS ROG Strix Scar III G531GV-VAZ160T (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.6 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce RTX 2060,512GB,,4 cell,2.6,1,190800596,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-strix-scar-iii-g531gvvaz160t-i79750h-s190800596.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop ASUS ROG Zephyrus M GU502GU-AZ090T (15"" FHD/i7-9750H/16GB/512GB SSD/GTX 1660Ti/Win10/2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,,4 cell,2,1,190800597,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-rog-zephyrus-m-gu502guaz090t-i79750h-den-s190800597.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop Apple MacBook Pro 2019 MV932 (15"" 2880x1800/Core i9/16GB/512GB SSD/Radeon Pro 560X/macOS/1.8 kg)",2880 x 1800,Intel Core i9,16GB,AMD Radeon Pro 560X,512GB,,,1.8,1,190900029,https://phongvu.vn/may-tinh-xach-tay-laptop-macbook-pro-2019-154-mv932-bac-s190900029.html,do-hoa-ky-thuat,Intel Core i9,
"Laptop HP Pavilion Gaming 15-dk0003TX (7HR34PA) (15"" FHD/i7-9750H/16GB/512GB SSD/1TB HDD/GTX 1660Ti/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,16GB,NVIDIA GeForce GTX 1660Ti,512GB,1TB,3 cell,2.2,0,190900035,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0003tx-7hr34pa-i79750h-den-s190900035.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0233TX (8DS86PA) (15"" FHD/i7-9750H/8GB/512GB SSD/GTX 1650/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.2,0,190900036,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0233tx-8ds86pa-i79750h-den-s190900036.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop HP Pavilion Gaming 15-dk0232TX (8DS85PA) (15"" FHD/i7-9750H/8GB/1TB HDD/GTX 1650/Win10/2.2 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,,1TB,3 cell,2.2,0,190900037,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-gaming-15dk0232tx-8ds85pa-i79750h-den-s190900037.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop Lenovo Legion Y540-17IRH (81T3001HVN) (17"" FHD/i7-9750H/8GB/128GB SSD/1TB HDD/GTX 1650/FreeDOS/2.9 kg)",1920 x 1080,Intel Core i7-9750H,8GB,NVIDIA GeForce GTX 1650,128GB,1TB,3 cell,2.9,0,190900293,https://phongvu.vn/may-tinh-xach-tay-laptop-lenovo-legion-y54017irhpg081t3001hvn-i79750h-den-s190900293.html,do-hoa-ky-thuat,Intel Core i7,9750H
"Laptop HP ZBook 15 G6 (6CJ09AV) (15"" FHD/i7-9850H/16GB/256GB SSD/Quadro T2000/Free DOS/2.6 kg)",1920 x 1080,Intel Core i7-9850H,16GB,NVIDIA Quadro T2000,256GB,,4 cell,2.6,0,190904120,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-zbook-15-g66cj09av-i79850h-bac-s190904120.html,do-hoa-ky-thuat,Intel Core i7,9850H
"Laptop Acer Nitro 5 AN515-52-53PC (NH.Q3MSV.00B) (15"" FHD/i5-8300H/8GB/512GB SSD/GTX 1050/Win10/2.5 kg)",1920 x 1080,Intel Core i5-8300H,8GB,NVIDIA GeForce GTX 1050,512GB,,4 cell,2.5,0,190904130,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-nitro-5-an5155253pc-nhq3msv00b-den-s190904130.html,do-hoa-ky-thuat,Intel Core i5,8300H
"Laptop MSI GL65 9SEK-047VN (15"" FHD/i7-9750H/16GB/512GB SSD/RTX 2060/Win10/2.3kg)",1920 x 1080,Intel Core i7 9750H,16GB,NVIDIA GeForce RTX 2060,512GB,,6 cell,2.3,1,191000800,https://phongvu.vn/may-tinh-xach-tay-laptop-msi-gl65-9sek047vn-i79750h-den-s191000800.html,do-hoa-ky-thuat,Intel Core i7 ,9750H
"Laptop Dell G3 15 3590-N5I5518W (15"" FHD/i5-9300H/8GB/512GB SSD/GTX 1650/Win10/2.3kg)",1920 x 1080,Intel Core i5 9300H,8GB,NVIDIA GeForce GTX 1650,512GB,,3 cell,2.3,0,191001275,https://phongvu.vn/may-tinh-xach-tay-laptop-dell-g3-15-3590-3590n5i5518w-i59300h-den-s191001275.html,do-hoa-ky-thuat,Intel Core i5 ,9300H
