id,link,title,price,tag,cpu_tech,cpu_type,ram,disk,screen_size,resolution,graphic_card,screen_port,keyboard_light,battery,weight,review_point,review_count,brand
204388,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g531g-i7-9750h-8gb-512gb-gtx,Asus Gaming ROG Strix G531G i7 9750H (AL017T),27990000,laptop-gaming,intel core i7 coffee lake,9750h,8 gb,ssd 512 gb m.2 pcie,15.6 inch,full hd (1920 x 1080),nvidia® geforce gtx™ 1650 4gb,"hdmi,",có,li - polymer 3 cell,2.4 kg,,,Asus
211633,https://www.thegioididong.com/laptop/asus-gaming-tuf-fx505d-r7-3750h-8gb-512gb-4gb-gtx1,Asus Gaming TUF FX505D R7 3750H (AL003T),22490000,laptop-gaming,amd ryzen 7,3750h,8 gb,ssd 512 gb m.2 pcie,15.6 inch,full hd (1920 x 1080),nvidia® geforce gtx™ 1650 4gb,",",có,li-ion 3 cell,2.2 kg,0,0,Asus
208859,https://www.thegioididong.com/laptop/lenovo-ideapad-l340-15irh-i5-9300h-8gb-1tb-3gb-gtx,Lenovo Ideapad L340 15IRH i5 9300H (81LK00FAVN),18490000,laptop-gaming,intel core i5 coffee lake,9300h,8 gb,hỗ trợ khe cắm ssd m.2 pcie,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050, 3gb",",",có,li-ion 3 cell,2.15 kg,4.2,5,Lenovo
217394,https://www.thegioididong.com/laptop/lenovo-ideapad-l340-i7-81lk00vuvn,Lenovo IdeaPad L340 15IRH i7 9750H (81LK00VUVN),22490000,laptop-gaming,intel core i7 coffee lake,9750h,8 gb,ssd 512 gb m.2 pcie,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050, 3gb",",",có,li-ion 3 cell,2.062 kg,,,Lenovo
210511,https://www.thegioididong.com/laptop/lenovo-ideapad-l340-15irh-i7-9750h-8gb-1tb-3gb-gtx,Lenovo IdeaPad L340 15IRH i7 9750H (81LK00FBVN),21290000,laptop-gaming,intel core i7 coffee lake,9750h,8 gb,hỗ trợ khe cắm ssd m.2 pcie,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050, 3gb",",",có,li-ion 3 cell,2.14 kg,,,Lenovo
207697,https://www.thegioididong.com/laptop/acer-nitro-an515-54-52ez-i5-9300h-8gb-256gb-gtx165,Acer Nitro AN515 54 52EZ i5 9300H (NH.Q59SV.019),22990000,laptop-gaming,intel core i5 coffee lake,9300h,8 gb,ssd 256gb nvme pcie,15.6 inch,full hd (1920 x 1080),nvidia® geforce gtx™ 1650 4gb,",",có,li - polymer 4 cell,2.3 kg,3,1,Acer
205916,https://www.thegioididong.com/laptop/msi-gaming-gf63-9sc-i7-9750h-8gb-256gb-gtx1650-win,MSI Gaming 15 GF63 9SC i7 9750H (070VN),25490000,laptop-gaming,intel core i7 coffee lake,9750h,8 gb,ssd 256gb nvme pcie,15.6 inch,full hd (1920 x 1080),geforce® gtx 1650 max-q design,"hdmi,",có,li - polymer 3 cell,1.86 kg,0,0,MSI
210247,https://www.thegioididong.com/laptop/asus-gaming-rog-g531gd-i7-9750h-8gb-512gb-4gb-gtx1,Asus Gaming ROG Strix G531GD i7 9750H (AL034T),26490000,laptop-gaming,intel core i7 coffee lake,9750h,8 gb,ssd 512 gb m.2 pcie,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050, 4gb",",",có,li-ion 3 cell,2.40 kg,3,1,Asus
204138,https://www.thegioididong.com/laptop/asus-fx505ge-bq052t,Asus Gaming FX505GE i5 8300H (BQ052T),22490000,laptop-gaming,intel core i5 coffee lake,8300h,8 gb,hỗ trợ khe cắm ssd m.2 pcie,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050ti, 4gb","hdmi,",có,li-ion 3 cell,2.2 kg,5,1,Asus
202327,https://www.thegioididong.com/laptop/hp-pavilion-15-cx0182tx-i7-8750h-8gb-1tb-128gb-4gb,HP Palivion 15 cx0182TX i7 8750H (5EF46PA),29990000,laptop-gaming,intel core i7 coffee lake,8750h,8 gb,hdd: 1 tb,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050ti, 4gb","hdmi,",có,li-ion 3 cell,2.17 kg,0,0,HP
204362,https://www.thegioididong.com/laptop/lenovo-legion-y530-i7-8750h-8gb-2tb-16gb-gtx-1050t,Lenovo Legion Y530 15 i7 8750H (81FV008LVN),27990000,laptop-gaming,intel core i7 coffee lake,8750h,8 gb,intel optane 16gb,15.6 inch,full hd (1920 x 1080),"nvidia geforce gtx 1050ti, 4gb",",",có,li - polymer 3 cell,2.3 kg,,,Lenovo
