Unnamed: 0,id,title,brand,price,weight,cpu,ssd,ram,battery
0,11011566,Laptop Asus ASUSPRO B9440UA-GV0488T Core i7-8550U/ Win10 (14,Asus,23089000,1.09,Intel Core i7,True,8GB,4-Cells 48 Whrs
1,44146391,Laptop Dell Inspiron 3493 N4I5136W S -Black I5 1035G1 8GB 256GB SDD 14FHD Win 10 - Hàng Chính Hãng ,Dell,14990000,1.66,,,,
2,11007488,Laptop Asus ASUSPRO B9440UA-GV0495T Core i5-8250U/ Win10 (14,Asus,19489000,1.09,Intel Core i5,True,8GB,4-Cells 48 Whrs
3,3080395,Laptop Lenovo Legion Y530-15ICH 81FV008LVN Core i7-8750H/Win10 (15.6 inch) - Black - Hàng Chính Hãng,Lenovo,23900000,2.3,Intel Core i7,False,8GB,3 Cell 52.5 WHr
4,23264100,Apple Macbook Air 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng,Apple,24889000,1.25,1.6GHz dual-core Intel Core i5,,8GB,50.3Wh LiPo Battery
5,721995,Macbook Air 2017 MQD32 (13.3 inch) - Hàng Chính Hãng,Apple,20709000,,Intel Core i5,True,8GB,Lithium Polymer
6,23264373,Apple Macbook Pro Touch Bar 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng,Apple,31089000,1.37,Intel Core i5,True,8GB,
7,17602293,Laptop Asus Vivobook 14 A412FA-EK224T Core i5-8265U/ Win10 (14 FHD) - Hàng Chính Hãng,Asus,15199000,,Intel Core i5,True,8GB,2 Cells 37 Whrs
8,22563635,"Laptop HP ENVY 13-AQ0026TU (Intel Core I5-8265U  8GB RAM DDR4  256GB SSD  13,3",HP,20469000,1.21,Intel Core i5,True,8GB,4 Cell 53WHr
9,2665113,The New Macbook 2017 (12 inch) Core M3/ 256GB - Hàng Chính Hãng,Apple,19989000,,Dual-Core,True,8GB,Lithium polymer
10,2546955,Laptop Xiaomi Mi Air JYU4063GL Core i5-8250U/Win10 (13.3 inch - Global Version) - Grey - Hàng Chính Hãng DGW,Xiaomi,16940000,1.28,Intel Core i5,True,8GB,"Li-ion (5107mAh, 40Whr) with Quick Charge 3.0"
11,25652461,Macbook Air 2017 MQD32 (13.3 inch) - Nhập Khẩu Chính Hãng,Apple,20499000,,Intel Core i5,True,8GB,Lithium Polymer
12,2471077,Laptop Asus Vivobook X407MA-BV043T Celeron N4000/Win10 (14 inch) - Gold - Hàng Chính Hãng,Asus,6069000,,Intel Celeron,False,4GB,3 Cell 33 Whrs
13,19569288,Laptop Asus Vivobook A512FA-EJ440T Core i5-8265U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,15429000,1.7,Intel Core i5,True,8GB,2 Cells37 Whrs
