	title	brand	price
0	Laptop Asus Vivobook S15 S530UA-BQ034T Core i3-8130U/Win10 (15.6 inch FHD IPS) - Hàng Chính Hãng	Asus	10769000
1	Asus F570ZD FY415T AMD R5-2500U/ VGA GTX1050/ Win10 (15.6 FHD) - Hàng Chính Hãng	Asus	15475000
2	Laptop Asus ASUSPRO B9440UA-GV0495T Core i5-8250U/ Win10 (14	Asus	19499000
3	Dell Inspiron 3480-N4I5107W: i5-8265U | 4GB RAM | 1TB HDD | UHD Graphics 620 | 14.0 HD | Win10 | Silver - Hàng Chính Hãng	Dell	12890000
4	Apple Macbook Air 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng	Apple	25490000
5	Laptop Asus Vivobook 14 A412FA-EK224T Core i5-8265U/ Win10 (14 FHD) - Hàng Chính Hãng	Asus	15399000
6	Laptop Lenovo Ideapad 130-15AST 81H5000VVN AMD A9-9425/ Win10 (15.6	Lenovo	5549000
7	Macbook Air 2017 MQD32 (13.3 inch) - Hàng Chính Hãng	Apple	20709000
8	Laptop HP ENVY 13-AQ0026TU (Intel Core I5-8265U  8GB RAM DDR4  256GB SSD  13,3	HP	19896000
9	Apple Macbook Pro Touch Bar 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng	Apple	31790000
10	Apple Macbook Air 2019 - 13 Inchs (i5/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng	Apple	29990000
11	Laptop Asus Vivobook X407MA-BV043T Celeron N4000/Win10 (14 inch) - Gold - Hàng Chính Hãng	Asus	6089000
12	Macbook Air 2017 MQD32 (13.3 inch) - Nhập Khẩu Chính Hãng	Apple	20499000
13	Laptop Asus Vivobook A512DA-EJ406T AMD R5-3500U/Win10 (15.6 FHD) - Hàng Chính Hãng	Asus	13949000
14	Laptop Asus Zenbook 14 UX433FA-A6113T Core i5-8265U/ Win10/ Numpad (14	Asus	20059000
15	Laptop Lenovo IdeaPad L340-15IRH 81LK007HVN Core i5-9300H/ GTX 1050 3GB/ Dos (15.6 FHD IPS) - Hàng Chính Hãng	Lenovo	16069000
